SlNo,Regional_and_Branch_Code,Names_of_Regional___Branch___Satellite_Offices,Designation,Address1,Address2,Address3,Pincode,Email_Id,Phone_Number,District,Office_Type,Phone_Count,Has_Email,Estimated_Business_Density,Estimated_MSME_Count,Estimated_Distance_Index,Service_Demand_Score,Demand_Category
20,30e,Ramnad Satellite Office,Office In-charge,"D.No.1130-C, First Floor","Opp. to Sothurani, Ramnad-Rameswaram Road","Bharathi Nagar, Ramanathapuram.",623504,bmramnad@tiic.org,04567-232474,Ramanathapuram,Satellite,2,1,358,415,27.59,296.87,Low
21,30f,Theni Satellite Office,Office In-charge,"Room No.22, D.No.297","Chinthamani Ammal Complex, Near Kottakudi Palam","Cumbum Road, Theni",625531,bmtheni@tiic.org,04546-251982,Theni,Satellite,2,1,307,113,7.91,182.48,Low
22,40a,Tirunelveli Regional Appraisal Cell,RAC Head,"5C/5B, Shakuntala Shopping","Complex, II Floor, Trivandrum Road","Vannarpettai, Tirunelveli",627003,rapc.tirunelveli@tiic.org,0462-2502721,Tirunelveli,Regional,1,1,393,341,40.31,240.38,Low
23,40b,Tirunelveli,Branch Manager,"5C/5B, Shakuntala Shopping","Complex, II Floor, Trivandrum Road","Vannarpettai, Tirunelveli",627003,bmtirunelveli@tiic.org,0462-2502038,Tirunelveli,Office,1,1,463,876,4.65,576.95,Medium
24,40c,Thoothukudi,Branch Manager,"No.4/35, N.P.S. Complex, Polpettai",Near New Bus Stand,Thoothukudi,628002,bmtuticorin@tiic.org,0461-2346082,Thoothukudi,Office,1,1,343,1469,49.36,712.38,High
25,40d,Nagercoil,Branch Manager,"No.37, Cape Road",Nagercoil,Unknown,629001,bmnagercoil@tiic.org,04652-232859,Other,Office,2,1,435,664,38.84,413.37,Low
26,40e,Sivakasi,Branch Manager,"98/C4, IInd Floor",Chairman Shanmuganadar Road,Sivakasi,626123,bmsivakasi@tiic.org,04562-229322,Other,Office,2,1,241,997,10.74,551.52,Medium
27,40f,Virudhunagar Satellite Office,Office In-charge,"No.27-C, 1st Floor",Railway Feeder Road,Virudhunagar,626001,bmvirudhunagar@tiic.org,04562-243911,Virudhunagar,Satellite,2,1,493,1463,1.27,868.36,High
28,50a,Trichy Reg. Appraisal Cell,RAC Head,"KRT Building, II Floor","No.33, Promenade Road","Cantonment, Trichy",620001,rapc.trichy@tiic.org,0431-2414177,Trichy,Office,1,1,326,191,40.96,148.13,Low
29,50b,Tiruchirapalli,Branch Manager,"KRT Building, II Floor","No.33, Promenade Road","Cantonment, Trichy",620001,bmtrichy@tiic.org,0431-2460498,Trichy,Office,1,1,210,1490,35.64,702.72,High
30,50c,Thanjavur,Branch Manager,"2854, N.G.K. Apartment","Opp. Arul Theatre, Nanjikkottai Road",Thanjavur,613001,bmthanjavur@tiic.org,04362-230465,Thanjavur,Office,2,1,363,1055,36.72,568.3599999999999,Medium
31,50d,Karur,Branch Manager,"66/1, 5th Cross, 1st Floor",Sengunthapuram,Karur,639002,bmkarur@tiic.org,04324-235581,Karur,Office,2,1,71,1578,38.79,697.37,High
32,50e,Villupuram Branch,Branch Manager,"23A,Ranganathan St, Woodlands Complex",Chennai-Trichy Trunk Road,Villupuram,605602,bmvillupuram@tiic.org,04146-229131,Chennai,Branch,2,1,302,1551,4.63,834.3900000000001,High
33,50f,Pudukkottai Satellite Office,Office In-charge,"MENA Complex, I Floor","T.S.No.2430/31, West Main Street",Pudukkottai,622001,bmpudukkottai@tiic.org,04322-222354,Pudukkottai,Satellite,2,1,285,608,18.56,376.23,Low
34,50g,Perambalur Satellite Office,Office In-charge,"D.No.132, First Floor",Mathanagopalapuram 2nd Street,Perambalur,621212,bmperambalur@tiic.org,04328-276659,Perambalur,Satellite,2,1,394,875,6.68,558.29,Medium
35,50h,Nagappattinam Satellite Office,Office In-charge,"Door No.12/1, LRJ Complex","II Floor,(Opp. to Military Canteen)","Naduvar Keela Street, Nagappattinam",611001,bmnagappattinam@tiic.org,04365-225656,Other,Satellite,2,1,98,134,43.29,48.019999999999996,Low
36,70a,Salem Regional Appraisal Cell,RAC Head,Sri Lakshmi Complex,"4/22, Omalur Main Road",Salem,636004,rapc.salem@tiic.org,0427-2448315,Salem,Regional,1,1,108,305,31.54,141.97000000000003,Low
37,70b,Salem,Branch Manager,"Sri Lakshmi Complex, I Floor","4/22, Omalur Main Road, Swarnapuri",Salem,636004,bmsalem@tiic.org,0427-2440444,Salem,Office,1,1,219,1204,17.21,614.0300000000001,Medium
38,70c,Dharmapuri,Branch Manager,DDDC Building (Upstairs),Pennagaram Road,Dharmapuri,636702,bmdharmapuri@tiic.org,04342-260866,Dharmapuri,Office,2,1,237,1685,4.11,872.98,High
39,70d,Hosur,Branch Manager,"Plot Nos.308 and 309, SIPCOT Housing Colony","SIPCOT Industrial Complex, (Opp. : LAL)","Near SBI/SIPCOT Shopping Complex, Hosur",635126,bmhosur@tiic.org,04344-275596,Other,Office,2,1,320,1995,16.24,1017.27,High
40,70e,Namakkal Satellite Office,Office In-charge,"D.No.20/127A-5B, First Floor","80 Feet Road, Salem Road",Namakkal,637001,bmnamakkal@tiic.org,04286-277667,Salem,Satellite,2,1,239,1511,16.93,769.74,High
