Sl.No,Regional and Branch Code,Names of Regional / Branch / Satellite Offices,Designation,Address1,Address2,Address3,Pincode,Email Id,Phone Number
22,40a,Tirunelveli Regional Appraisal Cell,RAC Head,"5C/5B, Shakuntala Shopping","Complex, II Floor, Trivandrum Road","Vannarpettai, Tirunelveli",627003,rapc.tirunelveli@tiic.org,0462-2502721
23,40b,Tirunelveli,Branch Manager,"5C/5B, Shakuntala Shopping","Complex, II Floor, Trivandrum Road","Vannarpettai, Tirunelveli",627003,bmtirunelveli@tiic.org,0462-2502038
24,40c,Thoothukudi,Branch Manager,"No.4/35, N.P.S. Complex, Polpettai",Near New Bus Stand,Thoothukudi,628002,bmtuticorin@tiic.org,0461-2346082
25,40d,Nagercoil,Branch Manager,"No.37, Cape Road",Nagercoil,NA,629001,bmnagercoil@tiic.org,04652-232859
26,40e,Sivakasi,Branch Manager,"98/C4, IInd Floor",Chairman Shanmuganadar Road,Sivakasi,626123,bmsivakasi@tiic.org,04562-229322
27,40f,Virudhunagar Satellite Office,Office In-charge,"No.27-C, 1st Floor",Railway Feeder Road,Virudhunagar,626001,bmvirudhunagar@tiic.org,04562-243911
28,50a,Trichy Reg. Appraisal Cell,RAC Head,"KRT Building, II Floor","No.33, Promenade Road","Cantonment, Trichy",620001,rapc.trichy@tiic.org,0431-2414177
29,50b,Tiruchirapalli,Branch Manager,"KRT Building, II Floor","No.33, Promenade Road","Cantonment, Trichy",620001,bmtrichy@tiic.org,0431-2460498
30,50c,Thanjavur,Branch Manager,"2854, N.G.K. Apartment","Opp. Arul Theatre, Nanjikkottai Road",Thanjavur,613001,bmthanjavur@tiic.org,04362-230465
31,50d,Karur,Branch Manager,"66/1, 5th Cross, 1st Floor",Sengunthapuram,Karur,639002,bmkarur@tiic.org,04324-235581
32,50e,Villupuram Branch,Branch Manager,"23A,Ranganathan St, Woodlands Complex",Chennai-Trichy Trunk Road,Villupuram,605602,bmvillupuram@tiic.org,04146-229131
33,50f,Pudukkottai Satellite Office,Office In-charge,"MENA Complex, I Floor","T.S.No.2430/31, West Main Street",Pudukkottai,622001,bmpudukkottai@tiic.org,04322-222354
34,50g,Perambalur Satellite Office,Office In-charge,"D.No.132, First Floor",Mathanagopalapuram 2nd Street,Perambalur,621212,bmperambalur@tiic.org,04328-276659
35,50h,Nagappattinam Satellite Office,Office In-charge,"Door No.12/1, LRJ Complex","II Floor,(Opp. to Military Canteen)","Naduvar Keela Street, Nagappattinam",611001,bmnagappattinam@tiic.org,04365-225656
36,70a,Salem Regional Appraisal Cell,RAC Head,Sri Lakshmi Complex,"4/22, Omalur Main Road",Salem,636004,rapc.salem@tiic.org,0427-2448315
37,70b,Salem,Branch Manager,"Sri Lakshmi Complex, I Floor","4/22, Omalur Main Road, Swarnapuri",Salem,636004,bmsalem@tiic.org,0427-2440444
38,70c,Dharmapuri,Branch Manager,DDDC Building (Upstairs),Pennagaram Road,Dharmapuri,636702,bmdharmapuri@tiic.org,04342-260866
39,70d,Hosur,Branch Manager,"Plot Nos.308 and 309, SIPCOT Housing Colony","SIPCOT Industrial Complex, (Opp. : LAL)","Near SBI/SIPCOT Shopping Complex, Hosur",635126,bmhosur@tiic.org,04344-275596
40,70e,Namakkal Satellite Office,Office In-charge,"D.No.20/127A-5B, First Floor","80 Feet Road, Salem Road",Namakkal,637001,bmnamakkal@tiic.org,04286-277667
